market,isin,symbol,name
LSE,GB00B18S7B29,AFC,AFC Energy plc GBX
LSE,GB00B19NLV48,EXPN,Experian PLC GBX
LSE,GB00B1CKQ739,DNLM,DUNELM GROUP PLC ORD 1P GBX
LSE,GB00B1CKQD97,BZT,Bezant Resources Plc GBX
LSE,GB00B1FH8J72,SVT,Severn Trent PLC GBX
LSE,GB00B1FMDQ43,GATC,GATTACA Plc GBX
LSE,GB00B1FW5029,HOC,HOCHSCHILD MINING PLC ORD 25P GBX
LSE,GB00B1GCLT25,POLR,Polar Capital Holdings PLC GBX
LSE,GB00B1KJJ408,WTB,Whitbread PLC GBX
LSE,GB00B1N7Z094,SAFE,SAFESTORE HOLDINGS PLC GBX
LSE,GB00B1QH8P22,FRAS,Frasers Group Plc GBX
LSE,GB00B1VNSX38,DRX,Drax Group PLC GBX
LSE,GB00B1WY2338,SMIN,Smiths Group PLC GBX
LSE,GB00B1XH2C03,FXPO,Ferrexpo Plc GBX
LSE,GB00B1YKG049,IPF,GBX
LSE,GB00B1YW4409,III,3i Group PLC GBX
LSE,GB00B1ZBKY84,MONY,GBX
LSE,GB00B24CGK77,RKT,Reckitt Benckiser Group PLC GBX
LSE,GB00B28ZPS36,REC,Record PLC GBX
LSE,GB00B2B0DG97,REL,Reed Elsevier PLC GBX
LSE,GB00B2PDGW16,SMWH,WH Smith PLC GBX
LSE,GB00B2QPKJ12,FRES,FRESNILLO PLC ORD USD0.50 GBX
LSE,GB00B39GTJ17,SAG,Science Group PLC GBX
LSE,GB00B39J2M42,UU.,United Utilities PLC GBX
LSE,GB00B3FLWH99,BOY,Bodycote plc GBX
LSE,GB00B3MBS747,OCDO,OCADO GROUP PLC ORD 2P GBX
LSE,GB00B3PHCS86,HINT,GBX
LSE,GB00B3Q74M51,DPP,DP Poland plc GBX
LSE,GB00B45C9X44,CHG,Chemring Group PLC GBX
LSE,GB00B4QVDF07,BVXP,Bioventix PLC GBX
LSE,GB00B4TT7L53,WINK,M Winkworth Plc GBX
LSE,GB00B4WFW713,LMP,Londonmetric Property PLC GBX
LSE,GB00B4WQVY43,PHE,PowerHouse Energy Group plc GBX
LSE,GB00B4X3Q493,AET,Afentra Plc GBX
LSE,GB00B4Y7R145,CURY,Currys Plc GBX
LSE,GB00B53P2009,JUP,Jupiter Fund Management GBX
LSE,GB00B572ZV91,PHAR,Pharos Energy Plc GBX
LSE,GB00B5N0P849,WG.,Wood Group (John) PLC GBX
LSE,GB00B5TFC825,BOD,Botswana Diamonds Plc GBX
LSE,GB00B5ZN1N88,SGRO,SEGRO PLC ORD 10P GBX
LSE,GB00B608Z994,IKA,Ilika Plc GBX
LSE,GB00B61TVQ02,INCH,INCHCAPE GBX
LSE,GB00B62Z3C74,FCSS,GBX
LSE,GB00B635TG28,ENQ,Enquest PLC GBX
LSE,GB00B63H8491,RR.,Rolls-Royce PLC GBX
LSE,GB00B63QSB39,GRG,Greggs Plc GBX
LSE,GB00B647W791,SAV,Savannah Resources Plc GBX
LSE,GB00B67KBV28,CAML,Central Asia Metals Plc GBX
LSE,GB00B7KR2P84,EZJ,EASYJET PLC ORD 27 2/7P GBX
LSE,GB00B82YXW83,VSVS,VESUVIUS PLC ORD 10P GBX
LSE,GB00B8C3BL03,SGE,The Sage Group PLC GBX
LSE,GB00B8SC6K54,UKW,Greencoat UK Wind Plc GBX
LSE,GB00B9275X97,HVO,Hvivo Plc GBX
LSE,GB00B95L0551,RBD,Reabold Resources Plc GBX
LSE,GB00BBHXD542,GMR,Gaming Realms Plc GBX
LSE,GB00BBT32N39,FDEV,Frontier Developments PLC GBX
LSE,GB00BCKFY513,FOXT,Foxtons Group PLC GBX
LSE,GB00BD0SFR60,MOTR,Motorpoint Group PLC GBX
LSE,GB00BD2B4L05,PAT,Panthera Resources PLC GBX
LSE,GB00BD2NCM38,WHR,Warehouse REIT Plc GBX
LSE,GB00BD5JRP64,HUD,Huddled Group PLC GBX
LSE,GB00BD6K4575,CPG,Compass Group PLC GBX
LSE,GB00BD6RF223,WJG,Watkin Jones Plc GBX
LSE,GB00BD7XPJ64,NRR,NewRiver REIT plc GBX
LSE,GB00BDFBVT43,OXB,Oxford BioMedica Plc GBX
LSE,GB00BDFGGK53,TGP,Tekmar Group GBX
LSE,GB00BDFXHW57,ASAI,Asa International Group Plc GBX
LSE,GB00BDR05C01,NG.,National Grid GBX
LSE,GB00BF01NH51,PRSR,PRS REIT (The) Plc GBX
LSE,GB00BF0F5X78,CGO,Contango Holdings PLC GBX
LSE,GB00BF345X11,SUPR,Supermarket Income REIT Plc GBX
LSE,GB00BF4HYT85,BGEO,Lion Finance Group PLC GBX
LSE,GB00BF4HYV08,CGEO,Georgia Capital Plc GBX
LSE,GB00BF4JDH58,MRC,GBX
LSE,GB00BF8Q6K64,ABDN,Abrdn PLC GBX
LSE,GB00BFD3VF20,80M,80 Mile Plc. GBX
LSE,GB00BFFK8T45,AMGO,Amigo Holdings PLC GBX
LSE,GB00BFN4GY99,ZNWD,Zinnwald Lithium Plc GBX
LSE,GB00BFYMWJ95,TGR,Tirupati Graphite Plc GBX
LSE,GB00BFZ7R980,MMIT,Mobius Investment Trust Plc GBX
LSE,GB00BFZNLB60,AJB,AJ Bell PLC GBX
LSE,GB00BG0TPX62,FCH,Funding Circle Holdings Plc GBX
LSE,GB00BG12Y042,ENOG,Energean Plc GBX
LSE,GB00BG49KP99,BBOX,Tritax Big Box REIT Plc GBX
LSE,GB00BG5KQW09,CWR,Ceres Power Holdings GBX
LSE,GB00BG5NDX91,SRB,Serabi Gold plc GBX
LSE,GB00BGDT3G23,RMV,Rightmove GBX
LSE,GB00BGXQNP29,PHNX,Phoenix Group Holdings Plc GBX
LSE,GB00BH0WFH67,TPFG,GBX
LSE,GB00BH3X7Y70,KOD,Kodal Minerals Plc GBX
LSE,GB00BH4HKS39,VOD,Vodafone Group PLC GBX
LSE,GB00BHJVQ590,EAT,European Asset Trust Plc GBX
LSE,GB00BHJYC057,IHG,GBX
LSE,GB00BJ62K685,PETS,PETS AT HOME GROUP PLC ORD 1P GBX
LSE,GB00BJDQQ870,WOSG,GBX
LSE,GB00BJGTLF51,THRL,Target Healthcare REIT Plc GBX
LSE,GB00BJLP1Y77,HICL,HICL Infrastructure Plc GBX
LSE,GB00BJM02935,ORIT,GBX
LSE,GB00BJP0B151,KDNC,Cadence Minerals Plc GBX
LSE,GB00BJTNFH41,AO.,AO World PLC GBX
LSE,GB00BJVH7905,AST,Ascent Resources Plc. GBX
LSE,GB00BJVQC708,HTWS,Helios Towers Plc GBX
LSE,GB00BJVR6M63,CRTM,Critical Metals Plc GBX
LSE,GB00BKDRYJ47,AAF,Airtel Africa Plc GBX
LSE,GB00BKFB1C65,MNG,M&G plc GBX
LSE,GB00BKM0ZJ18,PRE,Pensana Rare Earths Plc GBX
LSE,GB00BKPG7Z60,POLB,Poolbeg Pharma Plc GBX
LSE,GB00BKS7YK08,TET,Treatt PLC GBX
LSE,GB00BKWQ1135,HAYD,GBX
LSE,GB00BKXGY798,TEK,Tekcapital Plc GBX
LSE,GB00BKY40Q38,GFRD,Galliford Try Holdings Plc GBX
LSE,GB00BL0L5G04,ADT1,Adriatic Metals Plc GBX
LSE,GB00BL6NGV24,DOCS,Dr. Martens PLC GBX
LSE,GB00BL9YR756,WISE,Wise Plc GBX
LSE,GB00BLDRH360,OSB,OSB Group Plc. GBX
LSE,GB00BLDYK618,SMT,GBX
LSE,GB00BLGXWY71,WPS,W.A.G payment solutions Plc. GBX
LSE,GB00BLGZ9862,TSCO,Tesco GBX
LSE,GB00BLH1S316,UJO,Union Jack ORD PLC GBX
LSE,GB00BLWDVP51,FDM,FDM Group (Holdings) Plc GBX
LSE,GB00BLWDVR75,ESP,Empiric Student Property Plc GBX
LSE,GB00BM8PJY71,NWG,NatWest Group PLC GBX
LSE,GB00BMBVGQ36,HBR,Harbour Energy Plc GBX
LSE,GB00BMFSSJ73,POW,Power Metal Resources Plc  GBX
LSE,GB00BMH19X50,ALTN,Altyngold PLC GBX
LSE,GB00BMTV7393,THG,THG Plc GBX
LSE,GB00BMWC6P49,MNDI,Mondi PLC GBX
LSE,GB00BMX86B70,HLN,Haleon GBX
LSE,GB00BN4HT335,INDV,Indivior Plc GBX
LSE,GB00BN7CG237,AML,GBX
LSE,GB00BN7SWP63,GSK,GSK PLC GBX
LSE,GB00BND88V85,BPT,Bridgepoint Group Plc GBX
LSE,GB00BNG2VN02,CIZ,GBX
LSE,GB00BNGY4Y86,EPWN,Epwin Group PLC GBX
LSE,GB00BNLPYF73,SPI,Spire Healthcare Group Plc GBX
LSE,GB00BNNTLN49,PNN,Pennon Group Plc GBX
LSE,GB00BNTVWJ75,SYNT,Synthomer Plc. GBX
LSE,GB00BNYKB709,KITW,Kitwave Group Plc GBX
LSE,GB00BP371R64,CPH2,CLEAN POWER HYDROGEN  GBX
LSE,GB00BP6MXD84,SHEL,Shell PLC GBX
LSE,GB00BP6S8Z30,ONT,GBX
LSE,GB00BP7NQJ77,KIST,Kistos Holdings Plc GBX
LSE,GB00BP92CJ43,TATE,Tate Lyle Plc GBX
LSE,GB00BP9LHF23,SDR,Schroders PLC GBX
LSE,GB00BPJHV584,ITH,Ithaca Energy plc GBX
LSE,GB00BPQY8M80,AV.,Aviva Plc GBX
LSE,GB00BQHP5P93,DEC,Diversified Energy Co Plc GBX
LSE,GB00BQS10J50,GAMA,Gamma Communications Plc GBX
LSE,GB00BQZCCB79,MYI,GBX
LSE,GB00BRJQ8J25,HMSO,Hammerson PLC REIT GBX
LSE,GB00BS3D4G58,UKOG,UK Oil & Gas Plc  GBX
LSE,GB00BTK05J60,AAL,Anglo American PLC  GBX
LSE,GB00BVFCZV34,RWS,RWS Holdings Plc GBX
LSE,GB00BVFNZH21,ROR,Rotork Plc GBX
LSE,GB00BVGBWW93,AGR,Assura Plc GBX
LSE,GB00BVYVFW23,AUTO,Auto Trader Group plc GBX
LSE,GB00BWD24154,AEWU,AEW UK REIT Plc GBX
LSE,GB00BWFGQN14,SPX,GBX
LSE,GB00BY9D0Y18,DLG,GBX
LSE,GB00BYMF3676,W7L,Warpaint London Plc GBX
LSE,GB00BYMKY695,JGGI,GBX
LSE,GB00BYN59130,DOM,Domino's Pizza Group plc GBX
LSE,GB00BYQCS703,KNB,Kanabo Group Plc GBX
LSE,GB00BYRJ5J14,PHP,Primary Health Properties PLC GBX
LSE,GB00BYSX1508,RESI,Residential Secure Income Plc GBX
LSE,GB00BYSX2795,XTR,Xtract Resources Plc GBX
LSE,GB00BYT18307,TBCG,TBC Bank Group PLC GBX
LSE,GB00BYT1DJ19,ICG,GBX
LSE,GB00BYW0PQ60,LAND,Land Securities Group plc GBX
LSE,GB00BYWKBV38,RRR,Red Rock Resources plc GBX
LSE,GB00BYX0MB92,UOG,United Oil & Gas PLC GBX
LSE,GB00BYX5K988,SRC,SigmaRoc Plc GBX
LSE,GB00BYXJC278,IBST,Ibstock PLC GBX
LSE,GB00BYYW3C20,FORT,Forterra Plc GBX
LSE,GB00BYZDVK82,SCT,Softcat Plc GBX
LSE,GB00BZ0D6727,KNOS,KAINOS GROUP PLC ORD 0.5P GBX
LSE,GB00BZ15CS02,ARB,Argo Blockchain Plc GBX
LSE,GB00BZ4BQC70,JMAT,Johnson Matthey GBX
LSE,GB00BZ6D6J81,TRP,TOWER RESOURCES PLC GBX
LSE,GB00BZBX0P70,GYM,Gym Group Plc GBX
LSE,GG00B1W3VF54,SRE,Sirius Real Estate GBX
LSE,GG00B1Z5FH87,PPH,PPHE Hotel Group Limited GBX
LSE,GG00B28C2R28,PEY,EUR
LSE,GG00B979FD04,GWI,EUR
LSE,GG00BBHX2H91,TRIG,GBX
LSE,GG00BD59ZW98,RBW,Rainbow Rare Earths Ltd GBX
LSE,GG00BD95V148,ATM,Afritin Mining LTD GBX
LSE,GG00BGDYDZ69,FAR,Ferro-Alloy Resources Ltd GBX
LSE,GG00BMC7TM77,CORD,GBX
LSE,GG00BMD8MJ76,FSG,FORESIGHT GROUP HLDGS LTD GBX
LSE,GG00BYXVT888,VOF,GBX
LSE,IE0002424939,DCC,DCC PLC GBX
LSE,IE00028FXN24,SWR,Smurfit Westrock Limited GBX
LSE,IE0003864109,GNC,Greencore Group plc  GBX
LSE,IE00BD1RP616,BIRG,Bank of Ireland Group Plc EUR
LSE,IE00BDC5DG00,KMR,Kenmare Resources GBX
LSE,IE00BWT6H894,FLTR,Flutter Entertainment Plc GBX
LSE,IL0011284465,PLUS,PLUS500 LTD GBX
LSE,IM00B6QH1J21,ANIC,Agronomics Limited GBX
LSE,IM00BDHDTX83,EML,Emmerson PLC GBX
LSE,IM00BPLZ1D89,CEG,Challenger Energy Group PLC GBX
LSE,JE00B1GXH751,HFEL,Henderson Far East Income Ltd GBX
LSE,JE00B1LZS514,NCYF,GBX
LSE,JE00B4T3BW64,GLEN,GLENCORE PLC ORD USD0.01 GBX
LSE,JE00B55Q3P39,GENL,Genel Energy Plc GBX
LSE,JE00B8KF9B49,WPP,WPP Group PLC GBX
LSE,JE00BD3QJR55,FSFL,Foresight Solar Fund Ltd GBX
LSE,JE00BF0D1M25,EJFI,EJF Investments Ord GBX
LSE,JE00BF0XVB15,CMCL,GBX
LSE,JE00BF50RG45,YCA,Yellow Cake plc GBX
LSE,JE00BG6L7297,DEBS,Boohoo Group Plc GBX
LSE,JE00BJ1DLW90,EMG,MAN Group Plc GBX
LSE,JE00BJYJFG60,BOOM,Audioboom Group Plc GBX
LSE,JE00BLKGSR75,IDHC,USD
LSE,JE00BN574F90,WIZZ,WIZZ AIR HOLDINGS PLC GBX
LSE,JE00BRJ8YF63,GRL,GoldStone Resources Ltd. GBX
LSE,LU1072616219,BME,B&M European Value Retail SA GBX
LSE,SG9999003735,XPP,XP Power Ltd. GBX
LSE,US05462W1099,AXB,Axis Bank Ltd. GDR USD
LSE,US2017122050,CBKD,USD
LSE,US4012752014,GTCO,USD
LSE,US4380908057,HHPD,USD
LSE,US46627J3023,HSBK,HALYK SAVINGS BANK-GDR USD
LSE,US55302T2042,MHPC,MHP SE GDR USD
LSE,US63253R2013,KAP,KAZATOMPROM JSC NAC GDR USD
LSE,US7594701077,RIGD,Reliance Industries GDR USD
LSE,US7960502018,SMSD,"SAMSUNG EL.0,5GDRS NV PFD USD"
LSE,US7960508882,BC94,Samsung Electronics GDRS USD
LSE,US8565522039,SBID,State Bank of India GDR USD
LSE,USU0858L1036,DEVO,Devolver Digital Inc  GBX
LSE,USU834501038,SOM,Somero Enterprises Inc GBX
LSE,USY5217N1183,LTOD,Larsen & Toubro Ltd. GDR USD
LSE,USY541641194,MHID,Mahindra & Mahindra Ltd. GDR USD
LSE,VGG017351021,UFO,Alien Metals Ltd GBX
LSE,VGG154091083,BHL,Bradda Head Lithium Limited GBX
LSE,VGG2423W1077,CORA,Cora Gold Ltd GBX
LSE,VGG4392T1075,HE1,Helium One Global Ltd GBX
LSE,VGG7223M1005,PREM,GBX
LSE,XS2399367254,CON3,USD
LSE,XS2901884663,AAPY,USD
LSE,ZAE000013181,VALT,Valterra Platinum Limited GBX
LSE,ZAE000255360,OMU,GBX
LSE,ZAE000296554,TGA,Thungela Resources Ltd GBX
LSE,ZM0000000201,ZAM,Zambeef Product Plc GBX
LSE,US57777K1060,MXCT,Maxcyte Inc GBX
LSE,US63253R2013,KAP,KAZATOMPROM JSC NAC GDR USD
LSE,US7960502018,SMSD,"SAMSUNG EL.0,5GDRS NV PFD USD"
LSE,US7960508882,BC94,Samsung Electronics GDRS USD
LSE,USU0858L1036,DEVO,Devolver Digital Inc  GBX
LSE,USU834501038,SOM,Somero Enterprises Inc GBX
LSE,USY384721251,HYUD,HYUNDAI MOTOR COMPANY GDR USD
LSE,VGG017351021,UFO,Alien Metals Ltd GBX
LSE,VGG042401007,AMC,AMUR MINERALS CORP GBX
LSE,VGG154091083,BHL,Bradda Head Lithium Limited GBX
LSE,VGG2423W1077,CORA,Cora Gold Ltd GBX
LSE,VGG3191T1021,EMH,European Metals Holdings Ltd GBX
LSE,VGG4392T1075,HE1,Helium One Global Ltd GBX
LSE,VGG7223M1005,PREM,GBX
LSE,ZAE000255360,OMU,GBX
LSE,ZAE000296554,TGA,Thungela Resources Ltd GBX
LSE,ZM0000000201,ZAM,Zambeef Product Plc GBX
LSE,US63253R2013,KAP,KAZATOMPROM JSC NAC GDR USD
LSE,US7960502018,SMSD,"SAMSUNG EL.0,5GDRS NV PFD USD"
LSE,US7960508882,BC94,Samsung Electronics GDRS USD
LSE,USU0858L1036,DEVO,Devolver Digital Inc  GBX
LSE,USU834501038,SOM,Somero Enterprises Inc GBX
LSE,USY384721251,HYUD,HYUNDAI MOTOR COMPANY GDR USD
LSE,VGG017351021,UFO,Alien Metals Ltd GBX
LSE,VGG042401007,AMC,AMUR MINERALS CORP GBX
LSE,VGG154091083,BHL,Bradda Head Lithium Limited GBX
LSE,VGG2423W1077,CORA,Cora Gold Ltd GBX
LSE,VGG3191T1021,EMH,European Metals Holdings Ltd GBX
LSE,VGG4392T1075,HE1,Helium One Global Ltd GBX
LSE,VGG7223M1005,PREM,GBX
LSE,ZAE000255360,OMU,GBX
LSE,ZAE000296554,TGA,Thungela Resources Ltd GBX
LSE,ZM0000000201,ZAM,Zambeef Product Plc GBX
LSE,ZAE000296554,TGA,Thungela Resources Ltd GBX
LSE,ZM0000000201,ZAM,Zambeef Product Plc GBX
LSE,IE00BDF12W49,DEMR,USD
LSE,FR0011720911,CNAA,USD
LSE,GB00B15KXN58,ALUM,WisdomTree Aluminium ETC USD
LSE,GB00B15KXQ89,COPA,WisdomTree Copper  USD
LSE,GB00B15KXT11,COTN,WisdomTree Cotton USD
LSE,GB00B15KY211,NICK,WisdomTree Nickel USD
LSE,GB00B15KY658,SUGA,WisdomTree Sugar USD
LSE,GB00B15KYG56,AIGI,WisdomTree Industrial Metals USD
LSE,GB00B15KYH63,AIGA,WisdomTree Agriculture ETF USD
LSE,IE0000QLH0G6,FTWD,USD
LSE,IE0003UVYC20,JEPG,USD
LSE,IE0004TYCC17,SJHY,USD
LSE,IE00053WDH64,HYDE,USD
LSE,IE00055OM853,IT29,USD
LSE,IE0005CH3U28,JGRO,USD
LSE,IE00077FRP95,SDIV,USD
LSE,IE0007I99HX7,MOTU,USD
LSE,IE0007Y8Y157,QNTM,USD
LSE,IE0008T6IUX0,V3PL,USD
LSE,IE0008TDJ461,ID30,USD
LSE,IE000COQKPO9,NESG,USD
LSE,IE000IQQEL77,CPPR,USD
LSE,IE000LJG9WK1,TGGD,GBP
LSE,IE000NITTFF2,R1GR,USD
LSE,IE000OEF25S1,MWEQ,USD
LSE,IE000QJMYB29,ID29,USD
LSE,IE000U5MJOZ6,JEPI,USD
LSE,IE000U9J8HX9,JEPQ,USD
LSE,IE000UL6CLP7,SILV,USD
LSE,IE000WX7BVB0,JEGA,USD
LSE,IE000YYE6WK5,DFNS,VanEck Defense UCITS ETF USD
LSE,IE00B00FV011,SLXX,GBP
LSE,IE00B00FV128,MIDD,GBX
LSE,IE00B0M62S72,IDVY,GBX
LSE,IE00B14X4S71,IBTS,GBP
LSE,IE00B1FZSB30,IGLT,GBP
LSE,IE00B1FZSD53,INXG,GBP
LSE,IE00B1FZSF77,IDUP,USD
LSE,IE00B1TXHL60,IDPE,USD
LSE,IE00B1TXLS18,IUKP,iShares UK Property UCITS ETF GBX
LSE,IE00B2QWDY88,IDJP,USD
LSE,IE00B3CNHJ55,RTWO,USD
LSE,IE00B3F81K65,IGLO,USD
LSE,IE00B3VSSL01,XLKS,USD
LSE,IE00B3VTMJ91,CBE3,EUR
LSE,IE00B3VWN518,CBU0,USD
LSE,IE00B3WJKG14,IUIT,USD
LSE,IE00B3WMTH43,XLVS,USD
LSE,IE00B42WWV65,VGOV,Vanguard U.K. Gilt UCITS ETF GBP
LSE,IE00B43VDT70,SSLV,Invesco Physical Silver ETC USD
LSE,IE00B44CGS96,IUAG,USD
LSE,IE00B4556L06,IPDM,USD
